잡지	편수	비율
총 잡지 수	55	-
개벽	776	0.21012726780395344
천도교회월보	381	0.10316815597075549
청년	329	0.08908746276739778
학생계	275	0.07446520444083402
동명	256	0.06932033577037638
어린이	136	0.036826428378012456
금성(1923)	119	0.032223124830760896
조선문단	107	0.028973734091524504
신생명(1923)	92	0.024911995667479016
부인	90	0.024370430544272948
폐허	80	0.02166260492824262
백조	77	0.020850257243433524
신여성	76	0.020579474681830492
영대	71	0.019225561873815328
서광	70	0.018954779312212292
공영	65	0.017600866504197128
시사평론	62	0.016788518819388032
아성	61	0.016517736257785
신생활	51	0.01380991064175467
조선(조선문)	49	0.013268345518548606
서울	43	0.011643650148930408
신민공론	40	0.01083130246412131
시조	38	0.010289737340915246
신천지	37	0.010018954779312212
폐허이후	37	0.010018954779312212
취산보림	36	0.00974817221770918
산업계	28	0.007581911724884917
근화	18	0.00487408610885459
신여자	17	0.004603303547251557
시촌	17	0.004603303547251557
세광	16	0.004332520985648524
장미촌	14	0.0037909558624424585
활천	13	0.003520173300839426
부녀지광	11	0.0029786081776333605
공제	9	0.002437043054427295
신소년	9	0.002437043054427295
여자시론	9	0.002437043054427295
조음	9	0.002437043054427295
유도	8	0.002166260492824262
신건설	6	0.0016246953696181965
계명	6	0.0016246953696181965
상공세계	6	0.0016246953696181965
신학지남	5	0.0013539128080151638
불일	5	0.0013539128080151638
조선지광	5	0.0013539128080151638
금지	5	0.0013539128080151638
지기금지	4	0.001083130246412131
대중시보	4	0.001083130246412131
화요보	4	0.001083130246412131
조선종교공론	3	0.0008123476848090983
농민(1923)	2	0.0005415651232060655
가정잡지(1922)	2	0.0005415651232060655
원예지우	2	0.0005415651232060655
조선불교총보	1	0.00027078256160303275
영우	1	0.00027078256160303275
