잡지	편수	비율
총 잡지 수	129	-
신동아	1630	0.1216962819172764
삼천리	1069	0.07981185605494998
별건곤	805	0.06010153800209049
동광	663	0.04949977601911303
신가정	567	0.04233238763625504
별나라	552	0.041212483201433475
어린이	540	0.04031655965357623
조선(조선문)	401	0.02993877855756309
혜성(제일선)	374	0.027922950574884278
신여성	371	0.027698969687919964
학생	358	0.026728385844407943
아이생활	352	0.02628042407047932
중앙	284	0.021203523965954905
신생	274	0.020456921009407197
신소년	241	0.017993131252799763
비판	231	0.017246528296252055
신인간	228	0.01702254740928774
학등	207	0.015454681200537555
농민(1930)	194	0.014484097357025534
실생활	166	0.012393609078691952
가톨릭청년	163	0.012169628191727639
신민	159	0.011870987009108555
대조	156	0.011647006122144244
(기독교)종교교육	144	0.010751082574286995
청년	143	0.010676422278632223
농민생활	128	0.00955651784381066
문예월간	123	0.009183216365536807
대중공론	118	0.008809914887262954
신인문학	116	0.008660594295953412
등대(1929)	115	0.008585934000298641
월간매신	108	0.008063311930715246
천도교회월보	103	0.007690010452441391
신조선(1927)	90	0.006719426608929371
조선시단	88	0.00657010601761983
동방평론	85	0.006346125130655517
조선문학	81	0.006047483948036434
영화시대	75	0.00559952217410781
조선지광	71	0.005300880991488726
진생	68	0.005076900104524414
시대상	64	0.00477825892190533
종교시보	64	0.00477825892190533
백두산	54	0.004031655965357623
시대공론	52	0.0038823353740480814
전선	50	0.0037330147827385396
금강	47	0.0035090338957742273
신계단	44	0.003285053008809915
철필	44	0.003285053008809915
중명	44	0.003285053008809915
여인	43	0.003210392713155144
시조	43	0.003210392713155144
문예광	42	0.0031357324175003733
문학(1934)	40	0.002986411826190832
조선강단	37	0.0027624309392265192
신흥	37	0.0027624309392265192
우리집	35	0.002613110347916978
대평양	32	0.002389129460952665
예술	32	0.002389129460952665
신흥영화	32	0.002389129460952665
형상	31	0.0023144691652978947
선원	31	0.0023144691652978947
신흥조선	31	0.0023144691652978947
아등(우리들)	31	0.0023144691652978947
문학건설	29	0.002165148573988353
현대가정공론	29	0.002165148573988353
애중	29	0.002165148573988353
한글	28	0.002090488278333582
청년조선	28	0.002090488278333582
조선어문학회보(조선어문)	28	0.002090488278333582
신세계	27	0.0020158279826788116
백악	26	0.0019411676870240407
음악과 시	25	0.0018665073913692698
극예술	23	0.0017171868000597282
만국부인	23	0.0017171868000597282
문학창조	22	0.0016425265044049575
신학지남	21	0.0015678662087501866
신광	20	0.001493205913095416
북성	20	0.001493205913095416
문학(1932)	18	0.0013438853217858744
조선물산장려회보	18	0.0013438853217858744
호외	18	0.0013438853217858744
월간야담	17	0.0012692250261311035
여성조선	17	0.0012692250261311035
문산당	16	0.0011945647304763326
소년세계	16	0.0011945647304763326
활천	16	0.0011945647304763326
신흥예술	15	0.001119904434821562
장산	15	0.001119904434821562
여성	15	0.001119904434821562
이문당	15	0.001119904434821562
가톨릭연구	14	0.001045244139166791
중성	13	0.0009705838435120203
신취미	13	0.0009705838435120203
신조선(1931)	13	0.0009705838435120203
낙원(1933)	12	0.0008959235478572496
성서조선	11	0.0008212632522024788
동령	11	0.0008212632522024788
대중일기	11	0.0008212632522024788
동광총서	9	0.0006719426608929372
고아	8	0.0005972823652381663
새벗	8	0.0005972823652381663
시성	8	0.0005972823652381663
사명	7	0.0005226220695833955
감리회보	6	0.0004479617739286248
영계	6	0.0004479617739286248
대중	6	0.0004479617739286248
되는대로	5	0.000373301478273854
보건운동	5	0.000373301478273854
나가자	5	0.000373301478273854
진단학보	4	0.00029864118261908315
조선성공회보	4	0.00029864118261908315
신만몽	4	0.00029864118261908315
조선민속	3	0.0002239808869643124
조선농민	3	0.0002239808869643124
조선체육계	3	0.0002239808869643124
면려회보	3	0.0002239808869643124
집단	3	0.0002239808869643124
농업세게	2	0.00014932059130954157
신상주	2	0.00014932059130954157
불청운동	2	0.00014932059130954157
농업과원예	2	0.00014932059130954157
산업	2	0.00014932059130954157
사관	2	0.00014932059130954157
열음지이	2	0.00014932059130954157
계명시보	2	0.00014932059130954157
농촌월보	1	7.466029565477079e-05
천국복음	1	7.466029565477079e-05
동북경제	1	7.466029565477079e-05
이러타	1	7.466029565477079e-05
교육춘추	1	7.466029565477079e-05
