잡지	편수	비율
총 잡지 수	91	-
조선문단	973	0.11476763387591413
별건곤	672	0.07926397735314933
어린이	583	0.06876621844774711
신민	487	0.05744279311158292
동광	398	0.0469450342061807
청년	339	0.0399858457183298
조선지광	332	0.03916017928756782
신소년	315	0.037154989384288746
학생	297	0.03503184713375796
조선시단	295	0.03479594243925454
문예공론	258	0.03043170559094126
개벽	255	0.030077848549186128
신인간	251	0.029606039160179287
신생	249	0.02937013446567587
조선(조선문)	234	0.027600849256900213
진생	216	0.025477707006369428
천도교회월보	152	0.017928756782259966
현대평론	150	0.017692852087756547
신여성	121	0.014272234017456947
아이생활	101	0.011913187072422742
시조	101	0.011913187072422742
소년계	94	0.01108752064166077
시종	90	0.010615711252653927
신문계	89	0.010497758905402218
조선농민	84	0.009907997169143666
해외문학	77	0.009082330738381694
새벗	76	0.008964378391129983
삼천리	70	0.008256664307619722
한빛	69	0.00813871196036801
장한	67	0.00790280726586459
생의 성	50	0.005897617362585515
문예시대	50	0.005897617362585515
원고시대	40	0.004718093890068413
보성	38	0.004482189195564991
조선문예(1929)	34	0.004010379806558151
신시단	34	0.004010379806558151
조선강단	30	0.003538570417551309
습작시대	28	0.0033026657230478887
활천	27	0.0031847133757961785
생장	27	0.0031847133757961785
실업지조선	24	0.0028308563340410475
신사회(1925)	24	0.0028308563340410475
소녀계	23	0.0027129039867893373
영대	23	0.0027129039867893373
백웅	23	0.0027129039867893373
등대(1926)	23	0.0027129039867893373
여시	19	0.0022410945977824957
회광	19	0.0022410945977824957
평범	19	0.0022410945977824957
현대부인	19	0.0022410945977824957
활부녀	18	0.0021231422505307855
신생명(1923)	17	0.0020051899032790753
조선성공회보	17	0.0020051899032790753
중성	17	0.0020051899032790753
등대(1929)	16	0.001887237556027365
사조	16	0.001887237556027365
문명	16	0.001887237556027365
신진소년	15	0.0017692852087756545
무산자	15	0.0017692852087756545
부녀세계	14	0.0016513328615239443
한글	14	0.0016513328615239443
계명	14	0.0016513328615239443
절제생활	13	0.001533380514272234
노동운동	12	0.0014154281670205238
신사회(1926)	12	0.0014154281670205238
여성지우	12	0.0014154281670205238
분투	12	0.0014154281670205238
신흥	11	0.0012974758197688134
효종	11	0.0012974758197688134
신통	11	0.0012974758197688134
문예운동	11	0.0012974758197688134
농촌문헌	10	0.0011795234725171032
영데이	10	0.0011795234725171032
신지식	10	0.0011795234725171032
정진	10	0.0011795234725171032
사명	10	0.0011795234725171032
학창	9	0.0010615711252653928
신학지남	9	0.0010615711252653928
농촌	8	0.0009436187780136825
반도산업	7	0.0008256664307619722
장미	6	0.0007077140835102619
자활	5	0.0005897617362585516
근우	4	0.00047180938900684123
신시대(1929)	3	0.00035385704175513094
신조선(1927)	3	0.00035385704175513094
괴기	2	0.00023590469450342062
성서조선	2	0.00023590469450342062
주일학교잡지	2	0.00023590469450342062
소년시대	2	0.00023590469450342062
조선농인	2	0.00023590469450342062
감리회보	1	0.00011795234725171031
